0.00,000,11657.14
0.00,200,11657.14
0.11,200,13414.29
0.20,200,13671.43
0.31,200,13714.29
0.41,200,13757.14
0.51,200,13714.29
0.61,200,13757.14
0.72,200,13714.29
0.82,200,13757.14
0.93,200,13714.29
1.03,200,13714.29
1.12,200,13757.14
1.24,200,13714.29
1.33,200,13714.29
1.44,200,13757.14
1.54,200,13714.29
1.63,200,13714.29
1.75,200,13757.14
1.84,200,13757.14
1.96,200,13714.29
2.06,200,13714.29
2.14,200,13757.14
3.12,200,13714.29
2.35,200,13757.14
2.45,200,13757.14
2.58,200,13757.14
2.68,200,13714.29
2.78,200,13714.29
2.86,200,13757.14
2.96,200,13757.14
3.09,200,13714.29
3.19,200,13714.29
3.30,200,13714.29
3.37,200,13757.14
3.47,200,13757.14
3.61,200,13714.29
3.71,200,13714.29
3.81,200,13714.29
3.88,200,13714.29
3.98,200,13757.14
4.12,200,13757.14
4.22,200,13757.14
4.33,200,13714.29
4.39,200,13714.29
4.49,200,13714.29
4.64,200,13757.14
4.74,200,13757.14
4.84,200,13757.14
4.90,200,13757.14
5.39,200,13714.29
5.10,200,14100.00
5.20,200,14742.86
5.36,200,14142.86
5.41,200,13757.14
5.62,200,13757.14
5.61,200,13714.29
5.71,200,13714.29
5.87,200,13714.29
5.92,200,13714.29
6.14,200,13714.29
6.12,200,13757.14
6.22,200,13757.14
6.39,200,13757.14
6.43,200,13757.14
6.66,200,13757.14
6.63,200,13757.14
6.73,200,13714.29
6.90,200,13714.29
6.94,200,13714.29
7.18,200,13757.14
7.14,200,13757.14
7.24,200,13757.14
7.42,200,13757.14
7.45,200,13757.14
7.70,200,13757.14
7.65,200,13757.14
8.28,200,13757.14
7.93,200,13757.14
7.96,200,13757.14
8.14,200,13757.14
8.16,200,13757.14
8.34,200,13757.14
8.45,200,13757.14
8.55,200,13757.14
8.57,200,13757.14
8.67,200,13757.14
8.86,200,13757.14
8.96,200,15342.86
9.06,200,13757.14
9.08,200,13757.14
9.18,200,13757.14
9.37,200,13757.14
9.48,200,13757.14
9.58,200,13757.14
9.59,200,13757.14
9.69,200,13757.14
9.89,200,13757.14
9.99,200,13757.14
10.09,200,13757.14
10.10,200,13757.14
10.20,200,13714.29
10.50,200,13757.14
