0.00,300.00
0.11,5100.00
0.20,7200.00
0.31,8100.00
0.41,8528.57
0.51,8785.71
0.62,8957.14
0.71,9000.00
0.82,9042.86
0.93,9085.71
1.08,9085.71
1.13,9085.71
1.22,9128.57
1.33,9085.71
1.44,9085.71
1.53,9085.71
1.65,9128.57
1.72,9085.71
1.84,9085.71
1.96,9085.71
2.04,9085.71
2.16,9085.71
2.24,9085.71
2.35,9128.57
2.47,9085.71
2.55,9085.71
2.68,9085.71
2.73,9085.71
2.86,9085.71
2.99,9085.71
3.06,9042.86
3.19,9085.71
3.26,9085.71
3.37,9042.86
3.50,9085.71
3.57,9085.71
3.71,9085.71
3.74,9042.86
3.88,9042.86
4.02,9000.00
4.08,9042.86
4.22,9042.86
4.28,9042.86
4.39,9042.86
4.53,9000.00
4.59,9085.71
5.01,9085.71
4.79,9042.86
4.94,9085.71
5.00,9042.86
5.05,9042.86
5.25,9042.86
5.30,9042.86
5.41,9042.86
5.56,9042.86
5.61,9042.86
5.77,9000.00
5.81,9042.86
5.92,9042.86
6.08,9000.00
6.06,9042.86
6.28,9042.86
6.32,9042.86
6.43,9042.86
6.59,9042.86
6.63,9000.00
6.80,9000.00
6.83,8957.14
6.94,9000.00
7.04,9000.00
7.14,9000.00
7.31,9000.00
7.34,9000.00
7.45,8957.14
7.62,9000.00
7.65,8957.14
7.83,9000.00
7.78,9000.00
7.88,9000.00
8.14,8957.14
8.16,9000.00
8.34,9000.00
8.36,9000.00
9.05,9000.00
8.57,8957.14
8.67,9000.00
8.86,8957.14
8.87,9042.86
9.06,9042.86
9.08,9000.00
9.09,9000.00
9.37,9000.00
9.38,8957.14
9.58,9000.00
9.59,9000.00
9.69,8957.14
9.89,9000.00
9.89,8957.14
10.00,9000.00
10.00,9000.00
10.20,8957.14
10.40,9000.00
